Time,Value
2020-06-11 3:35:00,863796
2020-06-11 3:40:00,864476
2020-06-11 3:45:00,865249
2020-06-11 3:50:00,865973
2020-06-11 3:55:00,866841
2020-06-11 4:00:00,867882
2020-06-11 4:05:00,869174
2020-06-11 4:10:00,870371
2020-06-11 4:15:00,871393
2020-06-11 4:20:00,872592
2020-06-11 4:25:00,873729
2020-06-11 4:30:00,874972
2020-06-11 4:35:00,876264
2020-06-11 4:40:00,877673
2020-06-11 4:45:00,879203
2020-06-11 4:50:00,880598
2020-06-11 4:55:00,881961
2020-06-11 5:00:00,883340
2020-06-11 5:05:00,884823
2020-06-11 5:10:00,886278
2020-06-11 5:15:00,887790
2020-06-11 5:20:00,889264
2020-06-11 5:25:00,890603
2020-06-11 5:30:00,892028
2020-06-11 5:35:00,893300
2020-06-11 5:40:00,894389
2020-06-11 5:45:00,895662
2020-06-11 5:50:00,896714
2020-06-11 5:55:00,897557
2020-06-11 6:00:00,898626
2020-06-11 6:05:00,899506
2020-06-11 6:10:00,901424
2020-06-11 6:15:00,907410
2020-06-11 6:20:00,908788
2020-06-11 6:25:00,909983
2020-06-11 6:30:00,910958
2020-06-11 6:35:00,912050
2020-06-11 6:40:00,913092
2020-06-11 6:45:00,914085
2020-06-11 6:50:00,914980
2020-06-11 6:55:00,915828
2020-06-11 7:00:00,916672
2020-06-11 7:05:00,917519
2020-06-11 7:10:00,918357
2020-06-11 7:15:00,918695
2020-06-11 7:20:00,919389
2020-06-11 7:25:00,919873
2020-06-11 7:30:00,920682
2020-06-11 7:35:00,921250
2020-06-11 7:40:00,922063
2020-06-11 7:45:00,922730
2020-06-11 7:50:00,923455
2020-06-11 7:55:00,924025
2020-06-11 8:00:00,924642
2020-06-11 8:05:00,925054
2020-06-11 8:10:00,925450
2020-06-11 8:15:00,925817
2020-06-11 8:20:00,926238
2020-06-11 8:25:00,926575
2020-06-11 8:30:00,926983
2020-06-11 8:35:00,927452
2020-06-11 8:40:00,927861
2020-06-11 8:45:00,927928
2020-06-11 8:50:00,928128
2020-06-11 8:55:00,928477
2020-06-11 9:00:00,928752
2020-06-11 9:05:00,928986
2020-06-11 9:10:00,929317
2020-06-11 9:15:00,929578
2020-06-11 9:20:00,929951
2020-06-11 9:25:00,930176
2020-06-11 9:30:00,930426
2020-06-11 9:35:00,930838
2020-06-11 9:40:00,930878
2020-06-11 9:45:00,931069
2020-06-11 9:50:00,931438
2020-06-11 9:55:00,931567
2020-06-11 10:00:00,931798
2020-06-11 10:05:00,931874
2020-06-11 10:10:00,931895
2020-06-11 10:15:00,931976
2020-06-11 10:20:00,932829
2020-06-11 10:25:00,933053
2020-06-11 10:30:00,933396
2020-06-11 10:35:00,933654
2020-06-11 10:40:00,933745
2020-06-11 10:45:00,933831
2020-06-11 10:50:00,933939
2020-06-11 10:55:00,934073
2020-06-11 11:00:00,934214
2020-06-11 11:05:00,934399
2020-06-11 11:10:00,934407
2020-06-11 11:15:00,934670
2020-06-11 11:20:00,934750
2020-06-11 11:25:00,934727
2020-06-11 11:30:00,934949
2020-06-11 11:35:00,934987
2020-06-11 11:40:00,934876
2020-06-11 11:45:00,934887
2020-06-11 11:50:00,934990
2020-06-11 11:55:00,935040
2020-06-11 12:00:00,935396
2020-06-11 12:05:00,935523
2020-06-11 12:10:00,935520
2020-06-11 12:15:00,935504
2020-06-11 12:20:00,935382
2020-06-11 12:25:00,935426
2020-06-11 12:30:00,935533
2020-06-11 12:35:00,935545
2020-06-11 12:40:00,935519
2020-06-11 12:45:00,935100
2020-06-11 12:50:00,934708
2020-06-11 12:55:00,934863
2020-06-11 13:00:00,934936
2020-06-11 13:05:00,935025
2020-06-11 13:10:00,935033
2020-06-11 13:15:00,934947
2020-06-11 13:20:00,934844
2020-06-11 13:25:00,934728
2020-06-11 13:30:00,934533
2020-06-11 13:35:00,934639
2020-06-11 13:40:00,934619
2020-06-11 13:45:00,934351
2020-06-11 13:50:00,934035
2020-06-11 13:55:00,933906
2020-06-11 14:00:00,933696
2020-06-11 14:05:00,933608
2020-06-11 14:10:00,933381
2020-06-11 14:15:00,933260
2020-06-11 14:20:00,932969
2020-06-11 14:25:00,932849
2020-06-11 14:30:00,932683
2020-06-11 14:35:00,932481
2020-06-11 14:40:00,932246
2020-06-11 14:45:00,932039
2020-06-11 14:50:00,931916
2020-06-11 14:55:00,931695
2020-06-11 15:00:00,931329
2020-06-11 15:05:00,931114
2020-06-11 15:10:00,930853
2020-06-11 15:15:00,930775
2020-06-11 15:20:00,930725
2020-06-11 15:25:00,930608
2020-06-11 15:30:00,930209
2020-06-11 15:35:00,930061
2020-06-11 15:40:00,929890
2020-06-11 15:45:00,929694
2020-06-11 15:50:00,929412
2020-06-11 15:55:00,929183
2020-06-11 16:00:00,929068
2020-06-11 16:05:00,928909
2020-06-11 16:10:00,928532
2020-06-11 16:15:00,928182
2020-06-11 16:20:00,927995
2020-06-11 16:25:00,927824
2020-06-11 16:30:00,927495
2020-06-11 16:35:00,927434
2020-06-11 16:40:00,927125
2020-06-11 16:45:00,926813
2020-06-11 16:50:00,926866
2020-06-11 16:55:00,926657
2020-06-11 17:00:00,926398
2020-06-11 17:05:00,926158
2020-06-11 17:10:00,925755
2020-06-11 17:15:00,925350
2020-06-11 17:20:00,924987
2020-06-11 17:25:00,924695
2020-06-11 17:30:00,924375
2020-06-11 17:35:00,924116
2020-06-11 17:40:00,923852
2020-06-11 17:45:00,923366
2020-06-11 17:50:00,923051
2020-06-11 17:55:00,922723
2020-06-11 18:00:00,922333
2020-06-11 18:05:00,921983
2020-06-11 18:10:00,921535
2020-06-11 18:15:00,921138
2020-06-11 18:20:00,920897
2020-06-11 18:25:00,920512
2020-06-11 18:30:00,920203
2020-06-11 18:35:00,919999
2020-06-11 18:40:00,919687
2020-06-11 18:45:00,919627
2020-06-11 18:50:00,919282
2020-06-11 18:55:00,919133
2020-06-11 19:00:00,918658
2020-06-11 19:05:00,917968
2020-06-11 19:10:00,917312
2020-06-11 19:15:00,916911
2020-06-11 19:20:00,916447
2020-06-11 19:25:00,915850
2020-06-11 19:30:00,915023
2020-06-11 19:35:00,914311
2020-06-11 19:40:00,913674
2020-06-11 19:45:00,913069
2020-06-11 19:50:00,912381
2020-06-11 19:55:00,911597
2020-06-11 20:00:00,910862
2020-06-11 20:05:00,910107
2020-06-11 20:10:00,909274
2020-06-11 20:15:00,908457
2020-06-11 20:20:00,907436
2020-06-11 20:25:00,906356
2020-06-11 20:30:00,905161
2020-06-11 20:35:00,904024
2020-06-11 20:40:00,902923
2020-06-11 20:45:00,901647
2020-06-11 20:50:00,900437
2020-06-11 20:55:00,899489
2020-06-11 21:00:00,898197
2020-06-11 21:05:00,896922
2020-06-11 21:10:00,895787
2020-06-11 21:15:00,894721
2020-06-11 21:20:00,893732
2020-06-11 21:25:00,892769
2020-06-11 21:30:00,891717
2020-06-11 21:35:00,890535
2020-06-11 21:40:00,889405
2020-06-11 21:45:00,888469
2020-06-11 21:50:00,887518
2020-06-11 21:55:00,886664
2020-06-11 22:00:00,885609
2020-06-11 22:05:00,884864
2020-06-11 22:10:00,883962
2020-06-11 22:15:00,883041
2020-06-11 22:20:00,882358
2020-06-11 22:25:00,881659
2020-06-11 22:30:00,881094
2020-06-11 22:35:00,880451
2020-06-11 22:40:00,879797
2020-06-11 22:45:00,879288
2020-06-11 22:50:00,878775
2020-06-11 22:55:00,878338
2020-06-11 23:00:00,877845
2020-06-11 23:05:00,877391
2020-06-11 23:10:00,876837
2020-06-11 23:15:00,876600
2020-06-11 23:20:00,876222
2020-06-11 23:25:00,875836
2020-06-11 23:30:00,875473
2020-06-11 23:35:00,875158
2020-06-11 23:40:00,874924
2020-06-11 23:45:00,874691
2020-06-11 23:50:00,874369
2020-06-11 23:55:00,874179
2020-06-12 0:00:00,873838
2020-06-12 0:05:00,873417
2020-06-12 0:10:00,873207
2020-06-12 0:15:00,873029
2020-06-12 0:20:00,872901
2020-06-12 0:25:00,872736
2020-06-12 0:30:00,872597
2020-06-12 0:35:00,872472
2020-06-12 0:40:00,872289
2020-06-12 0:45:00,872062
2020-06-12 0:50:00,871915
2020-06-12 0:55:00,871735
2020-06-12 1:00:00,871539
2020-06-12 1:05:00,871433
2020-06-12 1:10:00,871235
2020-06-12 1:15:00,871067
2020-06-12 1:20:00,870977
2020-06-12 1:25:00,870845
2020-06-12 1:30:00,870638
2020-06-12 1:35:00,870660
2020-06-12 1:40:00,870543
2020-06-12 1:45:00,870454
2020-06-12 1:50:00,870463
2020-06-12 1:55:00,870472
2020-06-12 2:00:00,870421
2020-06-12 2:05:00,870455
2020-06-12 2:10:00,870528
2020-06-12 2:15:00,870611
2020-06-12 2:20:00,870701
2020-06-12 2:25:00,870929
2020-06-12 2:30:00,871086
2020-06-12 2:35:00,871283
2020-06-12 2:40:00,871459
2020-06-12 2:45:00,871822
2020-06-12 2:50:00,872039
2020-06-12 2:55:00,872495
2020-06-12 3:00:00,872990
2020-06-12 3:05:00,873486
2020-06-12 3:10:00,873936
2020-06-12 3:15:00,874506
2020-06-12 3:20:00,875064
2020-06-12 3:25:00,875645
2020-06-12 3:30:00,876316
2020-06-12 3:35:00,876991
2020-06-12 3:40:00,877597
2020-06-12 3:45:00,878242
2020-06-12 3:50:00,878954
2020-06-12 3:55:00,879727
2020-06-12 4:00:00,880788
2020-06-12 4:05:00,881885
