,Time,Value,Min_limit,Max_limit
313,2020-06-16 19:15:00,917841.0,887364.0677500557,915935.9322499443
314,2020-06-16 19:20:00,917296.0,887106.4215204477,915161.5784795523
315,2020-06-16 19:25:00,916769.0,886469.1870510268,914649.8129489732
316,2020-06-16 19:30:00,916095.0,885872.7667483104,913894.2332516896
317,2020-06-16 19:35:00,915587.0,885503.7651900842,912861.2348099158
318,2020-06-16 19:40:00,914777.0,884707.5910483366,912187.4089516634
319,2020-06-16 19:45:00,914103.0,883874.9627155208,911373.0372844792
320,2020-06-16 19:50:00,913537.0,883127.4207531975,910658.5792468025
321,2020-06-16 19:55:00,912829.0,882545.4210411564,909521.5789588436
322,2020-06-16 20:00:00,911734.0,881612.3674046261,908715.6325953739
323,2020-06-16 20:05:00,910990.0,880441.0506055196,908189.9493944804
324,2020-06-16 20:10:00,910238.0,879256.9931798223,907702.0068201777
325,2020-06-16 20:15:00,909298.0,878553.8320179585,906408.1679820415
326,2020-06-16 20:20:00,908363.0,877751.3252573243,905267.6747426757
327,2020-06-16 20:25:00,907250.0,876899.386103341,903829.613896659
328,2020-06-16 20:30:00,905996.0,875955.2466659445,902480.7533340555
329,2020-06-16 20:35:00,904715.0,874655.5936195743,901423.4063804257
330,2020-06-16 20:40:00,903497.0,873617.141946812,900311.858053188
331,2020-06-16 20:45:00,902296.0,872437.2088865796,899251.7911134204
332,2020-06-16 20:50:00,901206.0,871466.9452067353,898400.0547932647
333,2020-06-16 20:55:00,900173.0,870247.1279062943,897391.8720937057
334,2020-06-16 21:00:00,898791.0,869060.3617479225,895960.6382520775
335,2020-06-16 21:05:00,897478.0,867925.9644664816,894605.0355335184
336,2020-06-16 21:10:00,896392.0,866992.1670577455,893485.8329422545
337,2020-06-16 21:15:00,895321.0,865714.5444110461,892436.4555889539
338,2020-06-16 21:20:00,894266.0,864910.7503702202,891415.2496297798
339,2020-06-16 21:25:00,893260.0,863778.8738568889,890556.1261431111
340,2020-06-16 21:30:00,892212.0,862923.1926783746,889325.8073216254
341,2020-06-16 21:35:00,891133.0,861811.3530846182,888207.6469153818
342,2020-06-16 21:40:00,890109.0,860560.6802337554,887693.3197662446
343,2020-06-16 21:45:00,889329.0,860095.1281110212,886417.8718889788
344,2020-06-16 21:50:00,888451.0,859284.0208365199,885571.9791634801
345,2020-06-16 21:55:00,887545.0,858481.4561022489,884906.5438977511
346,2020-06-16 22:00:00,886514.0,857536.4066533042,883825.5933466958
347,2020-06-16 22:05:00,885646.0,856717.0528060149,882982.9471939851
348,2020-06-16 22:10:00,884892.0,856134.1335194649,882017.8664805351
349,2020-06-16 22:15:00,883959.0,855258.347456576,881493.652543424
350,2020-06-16 22:20:00,883411.0,854664.6638353716,880997.3361646284
351,2020-06-16 22:25:00,882647.0,854256.1217991787,880025.8782008213
352,2020-06-16 22:30:00,882029.0,853535.6477708542,879589.3522291458
353,2020-06-16 22:35:00,881448.0,853093.0305697443,879000.9694302557
354,2020-06-16 22:40:00,880806.0,852851.7846519742,878191.2153480258
355,2020-06-16 22:45:00,880311.0,852416.0446489753,877550.9553510247
356,2020-06-16 22:50:00,879856.0,852070.2857522184,876818.7142477816
357,2020-06-16 22:55:00,879386.0,851621.6857220026,876454.3142779974
358,2020-06-16 23:00:00,878864.0,851162.0215995049,876069.9784004951
359,2020-06-16 23:05:00,878346.0,850664.7352486114,875624.2647513886
360,2020-06-16 23:10:00,877903.0,850295.4225064917,875097.5774935083
361,2020-06-16 23:15:00,877560.0,849937.6826216738,874785.3173783262
362,2020-06-16 23:20:00,877217.0,849643.8692001583,874340.1307998417
363,2020-06-16 23:25:00,876822.0,849385.0898560219,873915.9101439781
364,2020-06-16 23:30:00,876083.0,849150.6350480559,873460.3649519441
365,2020-06-16 23:35:00,875894.0,848817.5488844914,873288.4511155086
366,2020-06-16 23:40:00,875858.0,848551.2569287437,873095.7430712563
367,2020-06-16 23:45:00,875663.0,848209.9259186713,872980.0740813287
368,2020-06-16 23:50:00,875501.0,848045.5827863656,872714.4172136344
369,2020-06-16 23:55:00,875082.0,847866.1654666795,872148.8345333205
370,2020-06-17 00:00:00,874794.0,845370.2682888798,869732.7317111202
371,2020-06-17 00:05:00,874087.0,844485.063234921,869237.936765079
372,2020-06-17 00:10:00,873804.0,844104.5037702557,869036.4962297443
373,2020-06-17 00:15:00,873427.0,843652.530154522,868897.469845478
374,2020-06-17 00:20:00,873145.0,843374.1775506531,868673.8224493469
375,2020-06-17 00:25:00,872861.0,843051.6326873858,868387.3673126142
376,2020-06-17 00:30:00,872569.0,842609.7235845742,868255.2764154258
377,2020-06-17 00:35:00,872332.0,842258.7803535708,868246.2196464292
378,2020-06-17 00:40:00,872035.0,841763.7906134984,868111.2093865016
379,2020-06-17 00:45:00,871754.0,841539.2673797556,867348.7326202444
380,2020-06-17 00:50:00,871497.0,841289.5255208786,867160.4744791214
381,2020-06-17 00:55:00,871234.0,841023.4139569746,867161.5860430254
382,2020-06-17 01:00:00,870998.0,840607.1554495675,867163.8445504325
383,2020-06-17 01:05:00,870923.0,840450.1949806003,867098.8050193997
